question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,r1,r2,s,ground_truth
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,7.0474033,0.15258466,0.57989454,0.43377095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55087054,0.046427537,0.0,0.046427537,6.8664174,0.08706439,0.57146037,0.36181623,0.53846157,0,0.6931471805599453,14.464691,2
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,6.45298,1.9754543,0.8724448,2.1494675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959446,0.5377163,0.0,0.5377163,6.182397,1.6175587,0.92018604,1.7443895,0.53846157,1,0.4054651081081644,13.594823,0
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,5.7127223,1.3030237,0.0,1.3030237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1330199,0.3715847,0.0,0.3715847,5.3769994,0.8094335,0.0,0.8094335,0.3846154,2,0.2876820724517809,12.222742,3
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,5.5335197,0.6016381,1.9315753,0.7845497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63072,0.6867657,1.9879775,0.8696396,0.3846154,3,0.22314355131420976,11.16424,0
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,5.1760917,1.5949073,0.45669043,1.6300375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19248152,0.093916915,0.0,0.093916915,5.1824026,1.5560715,0.51528335,1.5967565,0.3846154,4,0.18232155679395462,10.550976,2
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,5.1802573,0.0,2.1558847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1886263,0.0,2.0755925,0.0,0.53846157,5,0.1541506798272583,10.368883,0
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,4.631955,0.0,2.2216225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046959817,0.0,0.0,0.0,4.4833107,0.0,2.1432903,0.0,0.23076925,6,0.13353139262452263,9.162226,0
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,3.8934577,0.4023419,1.4700131,0.4023419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999249,0.093916915,0.0,0.093916915,3.311988,0.16798931,0.66253495,0.16798931,0.30769232,7,0.11778303565638346,8.30537,0
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,3.9471478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1086783,0.0,0.0,0.0,0.4615385,8,0.1053605156578263,8.055826,1
c5fa5723-7f9d-4f96-bae3-c846e30bc7a4,3.8003833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8984284,0.0,0.0,0.0,3.321405,0.0,0.0,0.0,0.23076925,9,0.09531017980432487,8.020217,0
5e8cfba6-217b-4844-b581-c395d8a01398,7.75197,4.6664658,1.6002358,4.985305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005703,0.20112035,0.13235538,0.20112035,7.5012074,4.578651,1.5125111,4.920095,0.7777778,0,0.6931471805599453,15.853747,4
5e8cfba6-217b-4844-b581-c395d8a01398,5.158894,2.6541924,0.63108665,2.790624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4530936,0.8319047,0.17832933,0.8319047,4.159002,1.599557,0.2769456,1.599557,0.5555556,1,0.4054651081081644,10.770989,4
5e8cfba6-217b-4844-b581-c395d8a01398,4.364779,0.0,0.022177432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48669425,0.0,0.0,0.0,4.367553,0.0,0.03400513,0.0,0.5555556,2,0.2876820724517809,9.219027,2
5e8cfba6-217b-4844-b581-c395d8a01398,4.3889866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28257605,0.0,0.0,0.0,4.3681717,0.0,0.0,0.0,0.33333334,3,0.22314355131420976,9.039734,0
5e8cfba6-217b-4844-b581-c395d8a01398,3.9541519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090012,0.0,0.0,0.0,3.8348994,0.0,0.0,0.0,0.33333334,4,0.18232155679395462,8.698052,3
5e8cfba6-217b-4844-b581-c395d8a01398,4.006441,1.0615112,0.0,1.0615112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219818,1.1157998,0.0,1.1157998,0.6666667,5,0.1541506798272583,8.226259,1
5e8cfba6-217b-4844-b581-c395d8a01398,3.925451,1.0506806,0.3293889,1.2507489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970417,0.3234917,0.14005505,0.3816739,3.4352922,0.4764551,0.113082685,0.6012755,0.6666667,6,0.13353139262452263,8.057785,0
5e8cfba6-217b-4844-b581-c395d8a01398,3.4287834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4327137,0.0,0.0,0.0,3.1747577,0.0,0.0,0.0,0.33333334,7,0.11778303565638346,8.036255,0
5e8cfba6-217b-4844-b581-c395d8a01398,3.7669222,0.0,0.04098789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62560326,0.0,0.040251456,0.0,3.2062151,0.0,0.0,0.0,0.44444445,8,0.1053605156578263,7.5987406,0
5e8cfba6-217b-4844-b581-c395d8a01398,3.4528987,0.0,0.46497202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28101835,0.0,0.0,0.0,3.6733682,0.0,0.6183922,0.0,0.44444445,9,0.09531017980432487,7.407285,0
7cc82511-c603-4595-8ae6-0778087a5b60,12.4269,8.985999,5.5931373,8.985999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7716393,2.9374309,1.6721125,2.9374309,10.777364,6.8831544,3.9421287,6.8831544,0.3888889,0,0.6931471805599453,26.975903,2
7cc82511-c603-4595-8ae6-0778087a5b60,11.736003,9.780091,5.3202333,9.780091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7294607,2.9109173,1.3926678,2.9109173,10.311332,7.968135,4.2894435,7.968135,0.33333334,1,0.4054651081081644,25.776794,0
7cc82511-c603-4595-8ae6-0778087a5b60,10.6184635,1.7653568,1.2871101,2.3316908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2618679,0.0,0.0,0.0,10.416102,1.888778,1.3743547,2.4703615,0.44444445,2,0.2876820724517809,22.296434,0
7cc82511-c603-4595-8ae6-0778087a5b60,8.40306,3.224681,0.0,3.2752802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939443,0.6445339,0.0,0.6445339,8.279369,3.0141983,0.0,3.0731199,0.33333334,3,0.22314355131420976,17.776373,0
7cc82511-c603-4595-8ae6-0778087a5b60,7.044133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020083733,0.0,0.0,0.0,7.032284,0.0,0.0,0.0,0.2777778,4,0.18232155679395462,14.0965,0
7cc82511-c603-4595-8ae6-0778087a5b60,6.34896,1.3235577,0.0,1.3235577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7478988,0.33403468,0.0,0.33403468,5.6336865,0.96198994,0.0,0.96198994,0.2777778,5,0.1541506798272583,13.730545,0
7cc82511-c603-4595-8ae6-0778087a5b60,6.504376,2.7526245,1.5608746,3.0060482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021024147,0.0,0.0,0.0,6.836194,2.9268136,1.7081729,3.2214074,0.33333334,6,0.13353139262452263,13.361594,0
7cc82511-c603-4595-8ae6-0778087a5b60,6.0285907,2.5795152,0.26670048,2.5795152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635636,0.63089305,0.0,0.63089305,5.516923,2.291278,0.32856008,2.291278,0.16666667,7,0.11778303565638346,13.309077,0
7cc82511-c603-4595-8ae6-0778087a5b60,6.3389997,1.346739,0.25926742,1.6416829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.470623,1.3703678,0.28130838,1.6774576,0.3888889,8,0.1053605156578263,12.809623,0
7cc82511-c603-4595-8ae6-0778087a5b60,5.8547864,0.26670048,0.26670048,0.9494934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7564826,0.0,0.0,0.19736743,5.02511,0.28685117,0.28685117,0.65060973,0.2777778,9,0.09531017980432487,12.636379,0
467a3506-ecff-422e-a566-f83434ebcc1a,19.080507,14.582489,10.415548,16.37582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6799097,4.811854,2.7227168,4.811854,16.87125,12.496993,7.061303,13.408194,0.6923077,0,0.6931471805599453,42.631668,0
467a3506-ecff-422e-a566-f83434ebcc1a,12.858176,0.07735363,0.0,2.037751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44628343,0.0,0.0,0.0,12.852773,0.14244638,0.0,2.237333,0.30769232,1,0.4054651081081644,26.157232,0
